SrNo,Name,Links,Subjects
1,Polynomials,https://www.youtube.com/watch?v=OnbcKzlWNeE,Maths
2,Trigonometry,https://www.youtube.com/watch?v=EJJIxUy0MxY,Maths
3,Exponents,https://www.youtube.com/watch?v=c5Qp3mBN5dY,Maths
4,Statistics,https://www.youtube.com/watch?v=4jNHJAicG40,Maths
5,PnC,https://www.youtube.com/watch?v=Tr-TVt5JAWY,Maths
6,Binomial Theorem,https://www.youtube.com/watch?v=j9GohkxkjGk,Maths
7,Real Numbers,https://www.youtube.com/watch?v=AFOnjvjU-Ck&list=PLG2_S6yzON5eJ5XrKyZnjf-ZNNeSiRjLu&index=4,Maths
8,Probability,https://www.youtube.com/watch?v=lZSL7Tm5ViA&list=PLG2_S6yzON5eJ5XrKyZnjf-ZNNeSiRjLu&index=3,Maths
9,Rational Numbers,https://www.youtube.com/watch?v=Slw5SCy9P14&list=PLG2_S6yzON5eJ5XrKyZnjf-ZNNeSiRjLu&index=10,Maths
10,Diffrentiation,https://www.youtube.com/watch?v=BcOPKQAZcn0&t=608s,Maths
11,Integration,https://www.youtube.com/watch?v=z0ajJjA3_Ns,Maths
12,Sets,https://www.youtube.com/watch?v=7KFUH7uGQZ4,Maths
13,Logarithms,https://www.youtube.com/watch?v=bPLyCH1WaEY,Maths
14,Accounting,https://www.youtube.com/watch?v=xWKfKCnQqAE,Maths
15,Triangles,https://www.youtube.com/watch?v=dquwbeqaT34,Maths
16,Quadratic Equations,https://www.youtube.com/watch?v=SMEzFWQojR4,Maths
17,Circles,https://www.youtube.com/watch?v=FxrFkySCSTY&list=PLIlJ3MdWYpoftXcKFtTzFroZm5d2Zgjl6,Maths
18,Straight Lines,https://www.youtube.com/watch?v=aygCt-LIKrg,Maths
19,Theorems,https://www.youtube.com/watch?v=FyFcD1zO8-I,Maths
20,Cubes,https://www.youtube.com/watch?v=R0ajg1jO-H0,Maths
21,Angles,https://www.youtube.com/watch?v=_M6zWH0nZ8c,Maths
22,Pi,https://www.youtube.com/watch?v=DLcjed7qy4I,Maths
23,Functions,https://www.youtube.com/watch?v=GY6Q2f2kvY0,Maths
24,Profit &Loss,https://www.youtube.com/watch?v=tHF2bXCQ3y4,Maths
25,Percentages,https://www.youtube.com/watch?v=JeVSmq1Nrpw,Maths
26,Ai,https://www.youtube.com/watch?v=oV74Najm6Nc&t=81s,AI
27,Introduction to AI,https://www.youtube.com/watch?v=5hNK7-N23eU&list=PL9ooVrP1hQOGHNaCT7_fwe9AabjZI1RjI&index=4,AI
28,Application Of AI,https://www.youtube.com/watch?v=Y46zXHvUB1s&list=PL9ooVrP1hQOGHNaCT7_fwe9AabjZI1RjI&index=6,AI
29,Machine Learning,https://www.youtube.com/watch?v=Pj0neYUp9Tc&list=PL9ooVrP1hQOGHNaCT7_fwe9AabjZI1RjI&index=10,AI
30,Application of ML,https://www.youtube.com/watch?v=HKcO3-6TYr0,AI
